Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
Chevrolet Chevelle Malibu,18.0,8,307.0,130.0,3504.,12.0,70,-
Buick Skylark 320,15.0,8,350.0,165.0,3693.,11.5,70,-
Plymouth Satellite,18.0,8,318.0,150.0,3436.,11.0,70,-
AMC Rebel SST,16.0,8,304.0,150.0,3433.,12.0,70,-
Ford Torino,17.0,8,302.0,140.0,3449.,10.5,70,-
Ford Galaxie 500,15.0,8,429.0,198.0,4341.,10.0,70,-
Chevrolet Impala,14.0,8,454.0,220.0,4354.,9.0,70,-
Plymouth Fury iii,14.0,8,440.0,215.0,4312.,8.5,70,-
Pontiac Catalina,14.0,8,455.0,225.0,4425.,10.0,70,-
AMC Ambassador DPL,15.0,8,390.0,190.0,3850.,8.5,70,-